spcode,genus,specific_epithet,family,Fire
(broad-leaf-aster),,,Asteraceae,F
(condalia),,,Rhamnaceae,F
(dinedv),,,,F
(hedgehog),,,Cactaceae,F
(little-mesquite),,,Fabaceae,F
(mystery-aster),,,Asteraceae,F
(opuntia),Opuntia,,Cactaceae,F
(quercus),Quercus,,Fagaceae,F
(ribes1),Ribes,?ribes roezlii??,Grossulariaceae,F+
(ribes2),Ribes,,Grossulariaceae,F
(sagebrush-like),,,Maybe Asteraceae,F
(unk-fine),,,Asteraceae,F
ABICON,Abies,concolor,Pinaceae,F+
ACEGLA,Acer,glabrum,Sapindaceae,F+
AGANEO,Agave,neomexicana,Asparagaceae,F
ATRCAN,Atriplex,canescens,Chenopodiaceae,F
BRILAC,Brickellia,laciniata,Asteraceae,F
CERBRE,Cercocarpus,breviflorus,Rosaceae,F
CHILIN,Chilopsis,linearis,Bignoniaceae,F+
CHRMEX,Chrysactinia,mexicana,Asteraceae,F
DALFOR,Dalea,formosa,Fabaceae,F
FOUSPL,Fouqueria,splendens,Fouqueriaceae,F+
GYMGLU,,,Asteraceae,F
HOLDIS,Holodiscus,discolor,Rosaceae,F+
JUNDEP,Juniperus,deppeana,Cupressaceae,F+
JUNMON,Juniperus,monosperma,Cupressaceae,F+
KOBSPI,Koberlinia,spinosa,Koeberliniaceae,F
LARTRI,Larrea,tridentata,Zygophyllaceae,F-
MAHHAE,Mahonia,haematocarpa,Berberidaceae,F
NOLMIC,Nolinia,microcarpa,Asparagaceae,F+
OPUMAC,Opuntia,macrocentra,Cactaceae,F-
PARINC,Parthenium,incanum,Asteraceae,F
PINEDU,Pinus,edulis,Pinaceae,F+
PINPON,Pinus,ponderosa,Pinaceae,F+
PINSTR,Pinus,strobiformis,Pinaceae,F+
POPTRE,Populus,tremuloides,Salicaceae,F+
PORSCO,Porophylluam,scoparium,Asteraceae,F-
PROGLA,Prosopis,glandulosa,Fabaceae,F+
PRUSER,Prunus,serotina,Rosaceae,F+
PSEMEN,Pseudotsuga,menziesii,Pinaceae,F+
QUEGAM,Quercus,gambelii,Fagaceae,F+
RHUMIC,Rhus,microphylla,Anacardeaceae,F+
RHUTRI,Rhus,trilobata,Anacardiaceae,F+
ROBNEO,Robinia,neomexicana,Fabaceae,F+
ROSWOO,Rosa,woodsii,Rosaceae,F+
YUCBAC,Yucca,baccata,Asparagaceae,F+
