spcode,genus,specific_epithet,family,growth_form,defense ,notes
(broad-leaf-aster),,,Asteraceae,subshrub,U,broad deltoid leaves
(condalia),,,Rhamnaceae,shrub,A,
(dinedv),,,,,,mystery entered as DINEDV
(hedgehog),,,Cactaceae,succulent,A,
(little-mesquite),,,Fabaceae,shrub,A,
(mystery-aster),,,Asteraceae,subshrub,U,
(opuntia),Opuntia,,Cactaceae,succulent,A,at CALICO
(quercus),Quercus,,Fagaceae,shrub/tree,U,at CALICO and BRIDAL
(ribes1),Ribes,,Grossulariaceae,shrub,A,
(ribes2),Ribes,,Grossulariaceae,shrub,A,
(sagebrush-like),,,Asteraceae,shrub,U,
(unk-fine),,,Asteraceae,subshrub,U,fine leaves
ABICON,Abies,concolor,Pinaceae,tree,U,
ACEGLA,Acer,glabrum,Sapindaceae,tree,U,
AGANEO,Agave,neomexicana,Asparagaceae,succulent,A,
ATRCAN,Atriplex,canescens,Chenopodiaceae,shrub,L,
BRILAC,Brickellia,laciniata,Asteraceae,shrub,L,
CERBRE,Cercocarpus,breviflorus,Rosaceae,shrub,U,
CHILIN,Chilopsis,linearis,Bignoniaceae,tree,U,
CHRMEX,Chrysactinia,mexicana,Asteraceae,subshrub,L,
DALFOR,Dalea,formosa,Fabaceae,shrub,U,
FOUSPL,Fouqueria,splendens,Fouqueriaceae,shrub,A,
GYMGLU,Gymnospema,glutinosum,Asteraceae,,U,
HOLDIS,Holodiscus,discolor,Rosaceae,shrub,U,
JUNDEP,Juniperus,deppeana,Cupressaceae,tree,U,
JUNMON,Juniperus,monosperma,Cupressaceae,shrub/tree,U,
KOBSPI,Koberlinia,spinosa,Koeberliniaceae,shrub,A,
LARTRI,Larrea,tridentata,Zygophyllaceae,shrub,L,
MAHHAE,Mahonia,haematocarpa,Berberidaceae,shrub,L,
NOLMIC,Nolinia,microcarpa,Asparagaceae,succulent,U,
OPUMAC,Opuntia,macrocentra,Cactaceae,succulent,A,
PARINC,Parthenium,incanum,Asteraceae,shrub,U,
PINEDU,Pinus,edulis,Pinaceae,tree,U,
PINPON,Pinus,ponderosa,Pinaceae,tree,U,
PINSTR,Pinus,strobiformis,Pinaceae,tree,U,
POPTRE,Populus,tremuloides,Salicaceae,tree,U,
PORSCO,Porophyllum,scoparium,Asteraceae,subshrub,L,
PROGLA,Prosopis,glandulosa,Fabaceae,shrub/tree,A,
PRUSER,Prunus,serotina,Rosaceae,tree,U,
PSEMEN,Pseudotsuga,menziesii,Pinaceae,tree,U,
QUEGAM,Quercus,gambelii,Fagaceae,tree,U,
RHUMIC,Rhus,microphylla,Anacardeaceae,shrub,U,
RHUTRI,Rhus,trilobata,Anacardiaceae,shrub,L,
ROBNEO,Robinia,neomexicana,Fabaceae,shrub/tree,A,
ROSWOO,Rosa,woodsii,Rosaceae,shrub,A,
YUCBAC,Yucca,baccata,Asparagaceae,succulent,A,
